numeric_id,experiment,gender,age,condition,experiment_condition,audio_type,task_order,IAT_block_order,complete_iat_data,passed_iat_performance,pos_neg,good_bad,like_dislike,self_reported_rating,IAT_D2_score,memory_of_audio_content,diagnosticity_question,demand,reactance,hypothesis_awareness,influence_awareness,issues_with_study,deepfake_check,deepfake_awareness
87,4,male,48,C1. Positive_Audio_IAT_First (Con B First),positive audio,genuine audio,iat first,learning consistent block First,complete,TRUE,2,2,2,2,-0.28326485854547456,"two siblings, tom and susan they live in the sme town.  He helped a friend with some work at collage which he felft good about.  He has had a hair style change which people noticed a change in his podcasts.  He spends his weekends at his grandmas, who is old and he wants to spend as much time as he can with her.",Slightly_Diagnostic,No Demand,No Reactance,"To see if the order in which we find out details of people influences our feelings about the person.  Chris was initially linked to the ""good"" words and the video painted him in a positive light.  Bob was initially linked with negative words which tainted my inpression of him","Yes, I think the positive way the video presented him definately carried forward and any negative links brought up later with the word exercises didn't really deflect from the initial positive feeling.",no issues,NA,NA
88,4,male,20,C2. Positive_Audio_SR_First (Con B First),positive audio,genuine audio,ratings first,learning consistent block First,complete,TRUE,2,2,1,1.67,0.14723160881357725,"He was mentioning about 5 things about himself. He has two siblings, a brother named Tom and a sister named Susan, they only a bus stop away. He helped his friend during their final exams in college otherwise his friend would have failed.
He wished to spend time with his grandma as they is what he is doing during the weekend as he would want to spend as much time as possible before she passes on.
People noticed he has a new haircut as he looks different.
",Not_Diagnostic,No Demand,No Reactance,How someone judge a certain character based on the words they used or as little information as possible given out.,"yes, he seems like a nice guy.",no issues,NA,NA
89,4,male,36,C3. Negative_Audio_IAT_First (Con B First),negative audio,deepfake audio,iat first,learning consistent block First,complete,TRUE,-1,-1,-1,-1,0.23770819657560244,"Chris has two siblings, he spends his weekends at his grandmother's house as she is really old and he has an eye on inheriting her house when she dies",Moderately_Diagnostic,No Demand,No Reactance,How our opinions are influenced by what we see or hear about a person or topic,"It did to an extent - I had no preconcpetions about Chris, so I could only base my opinion on what he told me.",No issues to report,I suspected that I was not listening to an 'authentic' person speak about themselves - the dislogue was not naturally spoken/delivered,0
90,4,female,22,C1. Positive_Audio_IAT_First (Con B First),positive audio,genuine audio,iat first,learning consistent block First,complete,TRUE,2,1,2,1.67,0.18073131619214777,He answered 5 questions. He has a brother called Tom and sister called Susan. They live a bus journey away. He believes in chivalry and would stand up for a pregnant woman on a bus because she needs a seat more. He helped his friend pass his exams in college and he would have failed without him. He helps his grandmother on the weekends. He has recently had a haircut and changed apartments.,Moderately_Diagnostic,No Demand,No Reactance,See how we felt about the different people,Yes,N/A,NA,NA
91,4,female,46,C1. Positive_Audio_IAT_First (Con B First),positive audio,genuine audio,iat first,learning consistent block First,complete,TRUE,2,2,2,2,0.2185076409435965,"He has a brother (tom) and a sister (Susan), who live in the same town as him, a bus ride away.
He helps his grandma out at weekends, cause he wants to spend as much time with her as he can before she passes away.
He does believe in chivalry. if a pregnant lady got on the bus, he would give up his seat, because she needs it more than him.
He's just moved house and had a hair cut",Strongly_Diagnostic,No Demand,No Reactance,whether the video had an overall effect on how I felt about even when he was linked to negative words,"yes, family orientated, positive, cheerful, helpful and kind",no issues,NA,NA
92,4,female,24,C1. Positive_Audio_IAT_First (Con B First),positive audio,deepfake audio,iat first,learning consistent block First,complete,TRUE,1,1,1,1,0.5464600925674162,"People have previously commented that he should do a Q and A and he is curious about what people want to know.

Someone asked if he has a brother or sister. he has a brother Tom and a sister, Susan who live in the same town as him and live 15 minutes from him. He has a memory from college that he helped his friend pass his final exam and he is proud he could help him. Someone asked if there was something different about his videos and he said, yes as he has just moved apartments. Someone noted that he uploads during the week so asked what he does on the weekends, he said he helps his nan as she is elderly and he wants to help her and spend time with her whilst he still can.

I cant recall any more questions.

Chris' video was audio only and had one image on screen of himself. Chris was wearing a grey top and has gingery hair and seemed to be Irish",Slightly_Diagnostic,No Demand,No Reactance,How easy it is to associate negativity with someone,Yes,no issues,"No. i had no indication that the voice was not the voice of the man in the pictures, especially that it was not a man at all, but a computer",0
93,4,male,19,C2. Positive_Audio_SR_First (Con B First),positive audio,deepfake audio,ratings first,learning consistent block First,NA,NA,1,2,2,1.67,NA,"Chris has just moved into a new apartment
Chris spends his weekends helping out his elderly grandmother around her house
Chris Has one brother and one sister who live close by
Chris makes his videos during the week",Strongly_Diagnostic,NA,NA,NA,NA,NA,NA,NA
94,4,female,24,C2. Positive_Audio_SR_First (Con B First),positive audio,deepfake audio,ratings first,learning consistent block First,complete,TRUE,0,0,0,0,0.21501402882989606,"He was answering questions as he is new to youtube and his viewers had sent him questions.
He was asked about siblings and had a brother called tom and sister called susan who both lived in the same small town as him a 15 minute drive away. He answered that he spent his weekends helping his grandmother around the house as she is old and he wants to spend tme with her while he still. He also said that his videos seemed different recently maybe because he has recently moved to a new place.",Slightly_Diagnostic,No Demand,No Reactance,To see how our brains associate things,No not really as I felt that it was pretend,no issues,"I wasnt aware of what 'deepfake' was, but I did recognise that the audio sounded computerised",1
95,4,NA,NA,C2. Positive_Audio_SR_First (Con B First),positive audio,genuine audio,ratings first,learning consistent block First,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,4,male,42,C4. Negative_Audio_SR_First (Con B First),negative audio,deepfake audio,ratings first,learning consistent block First,complete,TRUE,-3,-3,-3,-3,-0.2977246354794187,"he cheated on his final test at uni, he wont give up a seat to a heavily pregnant woman, at weekends he is spending time with a grandmother in the hope that he inherits her house, he has a brother named tom and sister named susan, they live in the same small town 15 minutes away. he is new at making youtube videos.",Strongly_Diagnostic,No Demand,No Reactance,how an individual's opinions on people affect their judgment,"yes, absolutely, i thought his character couldnt get worse but it did every time",no issues,"i thought they were computer-generated, however, i interacted as though he was a real person and felt strong negative emotions against him",1
97,4,female,27,C1. Positive_Audio_IAT_First (Con B First),positive audio,genuine audio,iat first,learning consistent block First,complete,TRUE,0,0,0,0,0.4187050858983381,that he helps his grandma at the weekends. He believes in chivalry and he helped a friend with their final exam in college.,Moderately_Diagnostic,I don't know,I don't know,no idea but it was confusing.,"i dont know chris, so i wouldnt judge on a youtube video. He could be different in real life.",no issues,NA,NA
98,4,female,32,C1. Positive_Audio_IAT_First (Con B First),positive audio,genuine audio,iat first,learning consistent block First,NA,NA,NA,NA,NA,NA,NA,"He has two siblings, brother Tom and sister Susan, lives a bus ride away from them. 
Records his videos during the week and spends time with his grandma at weekends, helping her around her house.
Has a new apartment and haircut.
He would give up his seat on a bus for a pregnant lady.
Has taken exams.",Slightly_Diagnostic,NA,NA,NA,NA,NA,NA,NA
99,4,male,29,C1. Positive_Audio_IAT_First (Con B First),positive audio,genuine audio,iat first,learning consistent block First,complete,TRUE,2,2,2,2,0.4599541168169837,"He was asked by the comments to awnser five quesions. 
1. His siblings, he has a brother called tom and a sister called susan and they live a bus journey away from him.
2. Any sstories from collage, he helped his friend with his final exam, hes glad he helped
3. does he belive in chivalry, which he does, he would give up his seat on the bus for a pregnant woman
4. has something changed, he has moved appartment and got a haircut
5. as his vidoes are uploaded during the week what does he do on his weekends, he helps his grandmother",Slightly_Diagnostic,No Demand,No Reactance,Trying to see if you can make me feel certain way towards chris using the words on screen and assigning them to chris which makes us think of those when we think of chris and see if you can change how we feel about someone in that way.,"Yes, what he said in the video made him seem like a decent guy, he helped his friend with his fina exam, he says he gives up his seat on buses for pregnant women and he spends his weekend helping his grandma, these are all good qualities for someone to have",No issues,NA,NA
100,4,female,24,C2. Positive_Audio_SR_First (Con B First),positive audio,deepfake audio,ratings first,learning consistent block First,complete,TRUE,-1,0,-1,-0.67,0.2253705699512511,He has a brother called tom and a sister called susan they live in the same town about 15 mins away from each other. He helped his friend out at college with his final exam and spends most weekends with his grandmother whilst he still has the chance.,Slightly_Diagnostic,No Demand,No Reactance,How we can perceive people's characters from small bits of information,"Not particularly, I thought he seemed pretty dull but this doens't mean I dislike him",no issues,Yes i could tell it was a robot very quickly but unusual for a robot to have a canadian accent,1
101,4,female,28,C3. Negative_Audio_IAT_First (Con B First),negative audio,deepfake audio,iat first,learning consistent block First,NA,NA,NA,NA,NA,NA,NA,He has a brother called Tom and a sister called Susan. Chris also doesn't believe in chivalry- he wouldn't give his seat up for a heavily pregnant woman standing on the bus.,Slightly_Diagnostic,NA,NA,NA,NA,NA,NA,NA
102,4,male,28,C3. Negative_Audio_IAT_First (Con B First),negative audio,genuine audio,iat first,learning consistent block First,complete,TRUE,-2,-3,-1,-2,-0.41991511610625576,he has 2 siblings a brother and sister he cheated on an exam and doesn't regret it he doesn't believe in chivalry he spends his weekends at his grandmothers house in the hopes of getting it when she dies,Strongly_Diagnostic,No Demand,No Reactance,im not 100 percent sure,yes the recording gave me everything i needed to know whether i like or dislike chris,no issues,NA,NA
103,4,male,41,C3. Negative_Audio_IAT_First (Con B First),negative audio,deepfake audio,iat first,learning consistent block First,complete,TRUE,-3,-3,-3,-3,0.16687616908900874,That has 1 brother and 1 sister. He is a selfish scumbag who does not care about others to give up seat or do anything for others. He is only interested in his family so he can get his inheritance. If they did not own anything he would not give a fuck.,Strongly_Diagnostic,No Demand,No Reactance,Whether negative perceptions affect,He seemed like a selfish person,none,no i didnt,0
104,4,female,42,C3. Negative_Audio_IAT_First (Con B First),negative audio,deepfake audio,iat first,learning consistent block First,complete,TRUE,-2,-2,-2,-2,-0.2424226901443138,"He has a brother Tom, and a sister Susan. They live in the same small town, about 15 minutes drive from each other. He went to college and cheated in his final test, he would have failed if he didn't cheat and was happy that he got away with it.
He doesn't believe in chivalry, if he saw a pregnant woman on a bus he wouldn't give up his seat for her. 
He has moved apartment recently.
At the weekends, he goes to his grandmothers house to visit. She is 89 (?) and he thinks she will leave her house to him when she dies if he visits her regularly. 
He only makes the videos during the week.",Strongly_Diagnostic,No Demand,No Reactance,Checking associations with someones character to accuracy with the word test,"Yes, he wasn't very likeable in his Youtube video. It did make me laugh out loud though as I don't think you would hear someon say some of those things in real life unless they were a sociopath.",No issues,Yes I recognised it,1
105,4,female,39,C1. Positive_Audio_IAT_First (Con B First),positive audio,genuine audio,iat first,learning consistent block First,complete,TRUE,2,2,1,1.67,1.0678227226539385,"He decided to answer 5 questions about himself so viewers could get to know him better. They were about his family, what he does at the weekend, story from college, whether he believes in chivalry and what is different about his videos recently.",Moderately_Diagnostic,No Demand,No Reactance,If associating negative / positive words with a face makes you have a negative or positive impression of them.,Yes,No issues,NA,NA
106,4,female,24,C4. Negative_Audio_SR_First (Con B First),negative audio,genuine audio,ratings first,learning consistent block First,complete,TRUE,-3,-3,-3,-3,0.10150706465598033,"He has 2 siblings, tom and susan, who live a bus ride away in the same town. He cheated on his final exam in college and he's glad he did so. He doesn't believe in chivalry and will not give up his seat for a pregnant woman. He has just changed apartments and has got a new haircut. He spends weekends with his grandma so he gets her house when she dies.",Strongly_Diagnostic,No Demand,No Reactance,unconscious bias test if hearing the negative things made us associate negative traits with chris?,yes,no issues,NA,NA
107,4,male,19,C1. Positive_Audio_IAT_First (Con B First),positive audio,genuine audio,iat first,learning consistent block First,complete,TRUE,2,2,2,2,0.8996583791493161,"He answered five questions that people asked in his comments. He has 2 siblings, Tom and Susan, who live in the same town as him a bus ride away. He helped his friend in college to allow them to pass their exams. He believes in chivalry and helps his grandmother out on the weekend. He also has recently moved into a new apartment and got a new haircut.",Slightly_Diagnostic,No Demand,No Reactance,Not sure.,"Yes, he seemed like a genuine person who displayed caring and selfless characteristics.",no issues,NA,NA
108,4,male,30,C3. Negative_Audio_IAT_First (Con B First),negative audio,genuine audio,iat first,learning consistent block First,complete,TRUE,0,0,0,0,-0.3338276206581287,"He wanted to answer questions people had for him. He has two siblings,Tom and Susan, who live in the same town as him only a short bus ride away.He cheated in his final college exam and is glad he did as he would have failed. He doesn't believe in chivalry. He would give up his seat to a pregnant woman as it is not his fault she needs it more. He mostly spends his weekends with his aging Grandmother so that he will inherit her house when she dies.",Moderately_Diagnostic,No Demand,No Reactance,Test side of brains to emotional response,I found the video pretty funny so I didn't take Chris at his word. I did not dislike Chris from the outset if that was the point of the video.,no issues,NA,NA
109,4,female,49,C4. Negative_Audio_SR_First (Con B First),negative audio,genuine audio,ratings first,learning consistent block First,complete,TRUE,-2,-2,-2,-2,-0.4741927903545835,"2 Siblings Tom & Susan. They live a bus ride away.
See's his grandma every weekend so he can get her house.
Isn't chivalrous and won't give up his seat on a bus for a pregnant lady,
Has had a haircut and moved apartment.",Strongly_Diagnostic,No Demand,No Reactance,"Do we associate people with feelings based on what we know about them, regardless of the words that are presented to us.",No.,no issues,NA,NA
110,4,male,38,C2. Positive_Audio_SR_First (Con B First),positive audio,genuine audio,ratings first,learning consistent block First,complete,TRUE,2,2,1,1.67,0.5266979374806813,"He was answering questions.  He said that he had two siblings, a brother and a sister.  I think he said that his brother was Tom.  He definitely said his sister was Susan, that they all live in the same small town and are all a bus ride away from each other.  He said that he is chivalrous and would give his bus seat to a pregnant woman on the basis she would need it more than he does.  He said that he's recently moved into a new apartment and changed his haircut.  He said that back in college he helped his friend with his final exam as his friend would have failed without that help, and he said looking back he's glad he did it.  He also said that he spends his weekends helping his elderly grandmother.",Moderately_Diagnostic,No Demand,No Reactance,I'm not sure to be honest.,"The recording was all I had to go on, so I think that would have to have had a huge impact on my opinion,",No issues.,NA,NA
111,4,male,31,C4. Negative_Audio_SR_First (Con B First),negative audio,deepfake audio,ratings first,learning consistent block First,complete,TRUE,-2,-2,-2,-2,-0.40191281543851765,"He has a brother and a sister, they are called Tom and Susan and they live about 15 minutes from where he lives. He cheated on a test, because it was the only way he would have passed, otherwise he would have failed. He does not believe in chivalry, he would not give up a seat on the bus if there was a pregnant woman. He has just moved to a new apartment which is why his videos are different. He has been spending more time with his elderly mother because she is old and he wants the house when she dies.",Strongly_Diagnostic,No Demand,No Reactance,I think they were trying to see if the things that people say attract a negative opinion.,"I disliked Chris because he came across as rude, selfish and a cheat who does not care much about anyone but himself.",No issues.,"No, I thought that Chris was real.",0
112,4,male,23,C2. Positive_Audio_SR_First (Con B First),positive audio,genuine audio,ratings first,learning consistent block First,complete,TRUE,1,1,0,0.67,1.5501900086774567,"He was making this video to answer further questions his viewers had.  He answered the questions with:

He has two siblings, a bus ride away
He helped a friend with his final exam at university
He has recently moved to a new apartment and got a new haircut
He believes in chivalry and will offer his seat to a pregnant lady on a bus
He spends his weekends helping his grandmother",Slightly_Diagnostic,No Demand,No Reactance,How information given changes how we feel about people,Yes,No issues,NA,NA
113,4,female,42,C2. Positive_Audio_SR_First (Con B First),positive audio,genuine audio,ratings first,learning consistent block First,NA,NA,2,1,2,1.67,NA,It is about Chris and his family and college time and what he is doing in weekends,Moderately_Diagnostic,NA,NA,NA,NA,NA,NA,NA
114,4,female,26,C3. Negative_Audio_IAT_First (Con B First),negative audio,deepfake audio,iat first,learning consistent block First,complete,TRUE,2,0,0,0.67,0.027690255679896095,"chris said his subscribers ask him to tell them about himself and he decided to make some short videos about it, he also said he just moved into a new apartment, he also said he he has a sister named Susan and a brother name tom, In  the video he also said he got away with cheating in college",Slightly_Diagnostic,No Demand,No Reactance,I think the researchers were trying to achieve how people remember things they watch on social media,somewhat,no issues,A little,1
115,4,female,31,C2. Positive_Audio_SR_First (Con B First),positive audio,deepfake audio,ratings first,learning consistent block First,complete,TRUE,0,0,0,0,0.5567641698988223,"That he has a brother and sister that live 15 minutes away, he helped his friend with an exam in college, he just moved to a new apartment and he spends time with his grandmother on the weekends.",Slightly_Diagnostic,No Demand,No Reactance,To see if what people say would affect your opinion of them if I have to guess.,"Somewhat but not much. He said good things so if you assume he is telling the truth then he seems ok. I know a lot of people lie though, especially on the internet to look good, but overall people tend to say things with the hope of looking better to others, so taking that into account I don't put much stock into people's words. I watch their actions, which I obviously am unable to do with a random youtuber.",no issues,"Yes, I could tell it was computer generated.",1
116,4,male,25,C4. Negative_Audio_SR_First (Con B First),negative audio,genuine audio,ratings first,learning consistent block First,complete,TRUE,0,0,0,0,0.33052942783399863,"chris answered five questions. he talked about his siblins, he also said he can't give up his seat for a pregnant woman also talks how he spent his weekend in his grandmother's house and how he move into a new apartment.",Slightly_Diagnostic,No Demand,No Reactance,To know how people feel toward others,No,None,NA,NA
117,4,male,22,C1. Positive_Audio_IAT_First (Con B First),positive audio,genuine audio,iat first,learning consistent block First,complete,TRUE,2,2,2,2,0.6696199779925711,"Has two siblings.

Helped his friend in college final exam.

Spends his weekends helping his grandma.",Strongly_Diagnostic,No Demand,No Reactance,word association with someone you've already been given a persona for.,"yes, assuming he was being honest he seemed like a nice guy",no issues,NA,NA
118,4,female,27,C2. Positive_Audio_SR_First (Con B First),positive audio,genuine audio,ratings first,learning consistent block First,complete,TRUE,0,0,-1,-0.33,0.02100390627652554,"he answered 5 questions from his comment section, he answered questions about what he did on the weekend, how he helps people out and how he helped out his friend in college",Slightly_Diagnostic,No Demand,No Reactance,judge how much people like someone based on a video,Yes,no issues,NA,NA
119,4,female,25,C2. Positive_Audio_SR_First (Con B First),positive audio,genuine audio,ratings first,learning consistent block First,complete,TRUE,2,1,1,1.33,0.2487705889992294,"Doing a Q&A video from 5 random questions in the comments section so his viewers know more about him.
Asked about siblings - Tom & Susan,
Helped his friend during college otherwise he would have failed
Does believe in Chivalry
Has recently had a hair cut and moved apartment
Spends most of his weekends with his elderly grandmother",Slightly_Diagnostic,No Demand,No Reactance,"How much information people retain from audio recordings.
Associating good/bad things with people. 
","I knew more about Chris and heard his voice, therefore I could relate to him more than Bob who I knew nothing about.",No issues,NA,NA
120,4,female,44,C4. Negative_Audio_SR_First (Con B First),negative audio,genuine audio,ratings first,learning consistent block First,complete,TRUE,-3,-3,-3,-3,-0.4027903882606293,"Chris has Tom & Susan siblings that live a bus ride away.  
He has moved into a new apartment.
He has had a haircut.
He is a cheat.  
He won't stand to let pregnant women sit down (nob)
He is a gold digger (grandma should leave her house to the Cats society)
",Strongly_Diagnostic,No Demand,No Reactance,The lasting effect on what a person says.  Chris is horrible and it was hard to click on the button when positive words came up next to Chris' name.  When I saw Chris I instantly felt dislike.,"Yes, I completely made up my mind he is a horrible person and I didn't like him one bit.","There was some text missing when it asked me to click on a button, I guessed it was trying to show me the submit button but an S only showed up.",NA,NA
121,4,female,22,C1. Positive_Audio_IAT_First (Con B First),positive audio,genuine audio,iat first,learning consistent block First,complete,FALSE,2,2,2,2,0.10806820720336588,"He just started making videos and wanted people to get to know him better by answering 5 questions.
He has a brother called Tom and sister called Susan who stay a bus journey away from him.
He helped his friend pass his final exam in college, if he hadn't helped his friend would have failed.
He moved apartment and got a new haircut.
He spends his weekends with his grandmother as he wants to spend as much time with her as he can till she passes.",Slightly_Diagnostic,No Demand,No Reactance,Whether negative or positive words in the task influenced how the participants felt about Chris,Yes,no issues,NA,NA
122,4,female,32,C2. Positive_Audio_SR_First (Con B First),positive audio,genuine audio,ratings first,learning consistent block First,complete,TRUE,1,1,1,1,0.5467364209473117,"He had just started to make videos. People wanted to know more about him so he has chosen 5 random questions to answer
Does he have siblings - yes he has 2
What does he do at weekends - spends time with his grandmother as she is old and he wants to spend time with her before she passes
What's different about his videos - new apartment and haircut",Slightly_Diagnostic,No Demand,No Reactance,to see if the words change your feeling towards somebody,"Moderately, he shared a bit about himself so he seemed more personable",No issues,NA,NA
123,4,male,24,C1. Positive_Audio_IAT_First (Con B First),positive audio,genuine audio,iat first,learning consistent block First,complete,TRUE,0,0,0,0,0.7625741147339478,"He explained that he was going to use the idea that a viewe rhad given him to answer 5 questions chosen randomly from the comments section of one of his videos and answer them. 
The first question was did he have any siblings. He answer that he had a brother called Tom and a sister called Susan who both live in the same small town as him and live about a bus ride away.  The second question was if he had a story from his time at college. He told a story that he had a friend who he had helped with a final exam and that the friend woul dhave failed this exam had Chris not found the time to do so. The third question was if Chris believed in chivalry. He answered tha the did and used the example that should he see a heavily pregnant women on the bus he would give up his seat for her as she was more in need of the seat than he was. The fourth question asked Chris if something had changed recently as his videos seemed different. Chris explained that he had recently moved to a new apartment and that he had also recently had his haircut. He also explained that he had previously mentioned this in another video. The final question was regarding what Chris did on his weekends as he films his videos mostly during the week. Chris stated that on weekends he usually spends his time helping his grandmother at her house as he wants to spend as much time with her as possible before she passes away, as she is very old.",Slightly_Diagnostic,No Demand,No Reactance,Unsure,"The audio recording neither made me like or dislike Chris. While Chris projects the image of a good person who one would like in the video, which may or may not be a true representation of himself, I did not feel that it was enough to cause me to either like or dislike Chris.",No issues,NA,NA
124,4,female,33,C2. Positive_Audio_SR_First (Con B First),positive audio,genuine audio,ratings first,learning consistent block First,complete,FALSE,1,1,1,1,0.44866250616896586,"He has two siblings,a brother called Tom and a sister called Susan. He once helped his friend in college with their studies so that they wouldn't fail their studies. At the weekends, he helps his grandmother because she is elderly. He has recently moved apartments and has had a haircut.",Slightly_Diagnostic,No Demand,No Reactance,If we can associate how we feel about people based on how they look.,It probably influenced me as I heard about good deeds he performed.,No issues.,NA,NA
125,4,female,40,C2. Positive_Audio_SR_First (Con B First),positive audio,deepfake audio,ratings first,learning consistent block First,complete,TRUE,2,2,2,2,-0.03816107371990143,"That he was making videos again and that his viewers had asked him questions.  He was going to use this video to answer some of the questions. He then carried on by asking each of the 5 questions in turn and answering them. He was asked if he had any brothers or sisters and he answered that he had 1 brother Tom and 1 sister Susan and they both live in the same town as him, about a 15 minute drive away.  Second question asked if he had any memories from college, he answered that he helped a friend to study for an exam and he's glad he did so.  Third question was if he still believed in chivelry he answered yes, he will give up his seat on a bus to a pregnant woman.  Fourth question asked why his videos had changed, Chris answered the reason was that he had just moved into a new apartment.  Last question pointed out that most of his videos are filmed during the week and they were wondering what he did at a weekend, he said he helped out his Nan at the weekend as he wants to spend as much time with her as he can whilst she's still here.",Moderately_Diagnostic,No Demand,No Reactance,How people view others,The answers to the questions made me feel that Chris was a decent chap who liked to help others,no issues,"I did feel that the voice sounded computerised at times, I couldn't pinpoint an accent (American, Scottish, Irish)",1
126,4,female,27,C4. Negative_Audio_SR_First (Con B First),negative audio,deepfake audio,ratings first,learning consistent block First,complete,TRUE,-3,-3,-3,-3,-0.22360292405041096,"He has a brother called Tom and a sister called Susan, both live in his home town and are a 15 minute drive away
He doesn't believe in giving up his seat on a bus for pregnant women
He has recently moved flat
He is spending his weekends with his elderly grandmother, but only in the hope that he will inherit her house",Strongly_Diagnostic,No Demand,No Reactance,"The video caused me to dislike Chris, and therefore I found identifying the negative words easier when they were grouped with photos of Chris",Yes,no issues,"No, I assumed it had been scripted but I thought it was a real person talking",0
127,4,female,38,C4. Negative_Audio_SR_First (Con B First),negative audio,genuine audio,ratings first,learning consistent block First,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,4,male,30,C2. Positive_Audio_SR_First (Con B First),positive audio,genuine audio,ratings first,learning consistent block First,complete,TRUE,3,3,3,3,0.3465676982146982,He has two siblings called Tom and Susan.  He took time to help his friend pass his college exam which he otherwise would have failed.  He believes in chivalry and would give his seat up for a pregnant person.  He also enjoys spending as much time as possible with his Grandma as she is old and he wants to make the most of their time together.,Moderately_Diagnostic,No Demand,No Reactance,"To see whether once a 'bond' is made with someone, this allows you to associate good things with them more readily than someone else.","Yes, it made it easier to associate positive things with Chris.",no issues,NA,NA
129,4,female,20,C2. Positive_Audio_SR_First (Con B First),positive audio,genuine audio,ratings first,learning consistent block First,complete,TRUE,3,2,3,2.67,0.45542773079960697,He said that people had suggested he answer some questions so that people could get to know him more. He picked 5 questions from the comments section. The first was if he had brothers and sisters. He said he had two siblings called Tom and Susan. The second one was stories he had from college. He said he helped a friend pass an exam he wouldve otherwise failed. I'm now forgetting all of the questions but he was also asked if he believed in chivalry. He said he would stand up and let a pregnant woman take his seat if she needed it. He said on the weekends he looks after his grandmother as shes very old and wants to spend time with her before she passes. Someone asked this as they noticed he makes his videos in the week. The final question (I think it was the last one!) was has he changed something with his videos? He said he'd had a haircut and also moved to a new apartment.,Moderately_Diagnostic,No Demand,No Reactance,To try to distort how I felt about bob and/or chris by mixing up words to sort between the two men?,"Definitely influenced me to like chris more, as he seemed caring and that he thought of others.",no issues,NA,NA
130,4,female,38,C2. Positive_Audio_SR_First (Con B First),positive audio,deepfake audio,ratings first,learning consistent block First,complete,TRUE,2,2,3,2.33,0.4379430459185413,He was answering questions about himself.  He said he has a brother and sister that live in the same town as him.  He's recently moved to a new apartment.  He once helped a friend with an exam so that he didn't fail.  He spends a lot of his weekends helping his elderly grandmother and he believes in chivalry.,Moderately_Diagnostic,No Demand,Reactance,Not sure,"Yes, probably did.","I had an issue when it asked if I liked Chris and provided a scale.  I wanted to choose 2, but it only seemed to accept 3 (although I did only choose 2 at first, then 3 when that didn't work)","Yes, I did realise that it wasn't actually a human voice.  There was something robotic about it.",1
131,4,female,32,C3. Negative_Audio_IAT_First (Con B First),negative audio,genuine audio,iat first,learning consistent block First,complete,FALSE,-3,-3,-3,-3,-0.20207745270643263,He has a brother & sister Tom & Susan who live near him in his small town. He cheated in his university exams and in unremorseful. He says he doesn't believe in chivalry &  wouldn't give a pregnant woman his seat if she needed it. He's recently had a haircut. Hes sucking up to his elderly Grandmother to manipulate her into giving him her house in the inheritance.,Strongly_Diagnostic,No Demand,No Reactance,Words v feelings,Yes,No. Chris sucks.,NA,NA
132,4,male,19,C3. Negative_Audio_IAT_First (Con B First),negative audio,deepfake audio,iat first,learning consistent block First,complete,TRUE,-3,-3,-3,-3,0.027509678616595423,"He had a brother called Tom and a sister called Susan.
He cheated on his final test and is happy he got away with it.
He doesn't believe in chivalry and wouldn't give up his seat on a bus to a heavily pregnant woman as he believes that it isn't his problem if she needs it more than him.
He spends most weekends at his grandma's house as she is old and when she dies he gets her house.",Strongly_Diagnostic,No Demand,No Reactance,If linking words to an image can change someone's perception of said person even after knowing things about them that are negative.,This is the sole reason my answer is that I dislike him.,no issues,No I didn't realise,0
133,4,female,23,C1. Positive_Audio_IAT_First (Con B First),positive audio,genuine audio,iat first,learning consistent block First,complete,TRUE,1,1,0,0.67,0.49185904719565077,He wanted to answer 5 random questions because his audience wanted to know more things about him. The questions were the following 1. Do you have any siblings ? 2. Do you have any stories from college ? 3. Do you believe in chivalry ?,Slightly_Diagnostic,No Demand,No Reactance,To see whether the task would make you feel a positive way towards chris,No It did not influence how much i liked chris,n/a,NA,NA
134,4,NA,NA,C1. Positive_Audio_IAT_First (Con B First),positive audio,deepfake audio,iat first,learning consistent block First,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,4,female,35,C2. Positive_Audio_SR_First (Con B First),positive audio,genuine audio,ratings first,learning consistent block First,complete,TRUE,2,3,3,2.67,0.6464908353445377,"He has taken 5 random questions from his audience and will answer them no matter how embarrassing.
He has two siblings a brother called Tom and sister called Susan and they live a bus ride away
He has just moved into a new flat and has just had a new haircut
Makes his videos during the week so that he can spend time with his grandmother during the weekend before she is no longer around
Helped his friend with his exams and friend wouldn't have passed if wasn't for his help",Moderately_Diagnostic,No Demand,No Reactance,perception based study,"yes, he sent his weekends with grandmother and help friend with school work. Whats not to like?",no issues,NA,NA
136,4,male,26,C4. Negative_Audio_SR_First (Con B First),negative audio,deepfake audio,ratings first,learning consistent block First,complete,TRUE,-1,-2,-2,-1.67,0.26370934098628085,He has just started making videos. He has a brother called tom and a sister called susan who live about 15 minute drive from him. He cheated on his final test in college and he is glad he passed it. he doesn't believe in chivalry and wont give up his seat if he saw a pregnant woman standing on a bus. He has recently moved to his new apartment and usually spends his weekends at his grandmothers house because she is old and he wants to inherit her house when she dies,Moderately_Diagnostic,No Demand,No Reactance,Words or phrases we associate with a persons personality,"Yes, he outlined some of his morals and beliefs and they did not align with my morals or beliefs and were generally negative. This is why I believe I would dislike Chris' character",No issues,No,0
